image,github_repo,prompt
None,pydantic/pydantic,"Work in the existing repository. Inspect the codebase before editing.
A model_validator with mode='after' on a Pydantic BaseModel is being called again on an already-validated instance when that instance is passed as a field value to another model. The config option revalidate_instances='never' does not prevent this.
Reproduce the issue: create a model with an after-validator that increments a counter, instantiate it, then pass that same instance into a composing model. The validator fires twice.
Find where in the validation/construction path the already-validated instance is being re-validated. Implement a fix that respects the existing instance without re-running validators when revalidate_instances is set to 'never'. Add a test covering this exact composition pattern.
Do not change unrelated validation behavior. Keep backward compatibility."
None,litestar-org/litestar,"Work in the existing repository. Inspect the codebase before editing.

The `litestar run` CLI command does not pass environment variables to the uvicorn subprocess when running with a single worker and without --reload. Environment variables ARE passed when workers > 1 or when --reload is used, so this is an inconsistency in the single-worker non-reload path.

Look at the CLI command implementation in litestar/cli/commands/core.py around the uvicorn runner setup. Identify why env vars are dropped specifically in the single-worker non-reload case. The fix should ensure uvicorn always receives the parent process environment regardless of worker count or reload flag.

Add a test that verifies environment variables reach the uvicorn process in all three modes: single worker, multi worker, and reload."
None,sqlalchemy/sqlalchemy,"Work in the existing repository. Inspect the codebase before editing.

Calling scalar methods (scalar(), scalar_one_or_none(), scalar_one()) on an AsyncResult obtained from streaming raises an AttributeError: 'AsyncResult' object has no attribute '_source_supports_scalars'.

The error occurs because AsyncResult wraps a sync Result but the scalar path accesses _source_supports_scalars directly on the wrapper instead of delegating to the underlying sync result.

Reproduce with: create an async engine, open a streaming connection with conn.stream(text('SELECT 1')), then call await async_result.scalar().

Fix the delegation so AsyncResult.scalar() and related methods properly forward to the underlying sync result's scalar support. Add async test coverage for all three scalar methods on streaming results.

Do not remove the scalar methods - they exist for API parity with the sync Result interface."
None,diesel-rs/diesel,"Work in the existing repository. Inspect the codebase before editing.

When using PostgreSQL with diesel's on_conflict().do_update() for upserts, fields of type Option<T> are being silently omitted from the DO UPDATE SET clause. This means setting an Option field to None during an upsert has no effect - the old value persists in the database.

The generated SQL shows the Option columns listed in the INSERT part but missing from the ON CONFLICT DO UPDATE SET clause. MySQL and SQLite backends work correctly.

Investigate how diesel derives the column list for the UPDATE portion of upsert statements in the PostgreSQL backend. The Option fields should be included so that explicitly setting them to None actually updates the row. Add a test with a table containing an Option<String> column, perform an upsert that sets it to None, and verify the database reflects the change."
None,diesel-rs/diesel,"Work in the existing repository. Inspect the codebase before editing.

The diesel CLI's print-schema feature with allow_tables_to_appear_in_same_query_config = ""fk_related_tables"" produces incorrect output when a table has two foreign keys referencing the same parent table. The generated diesel::allow_tables_to_appear_in_same_query! macro is missing the child table, and diesel::joinable! is also missing for one of the FK relations.

A test case already exists at diesel_cli/tests/print_schema/print_schema_fk_related_tables/postgres/ - the snapshot shows comments and posts tables where comments has two FKs to users (author_id, moderator_id). The expected output should include comments in allow_tables_to_appear_in_same_query! and generate joinable! for both FK relations.

Fix the fk_related_tables logic in diesel_cli to handle multiple foreign keys to the same table correctly. Update the snapshot test to match the corrected output."
None,bevyengine/bevy,"Work in the existing repository. Inspect the codebase before editing.

In Bevy's ECS, an Observer's underlying system state can be replaced after the observer has been spawned. If the observer component is overwritten with a new observer that has a different system (with different Local types), running the original system with the new system's locals causes undefined behavior - a segfault in release mode, or a type mismatch panic in debug mode.

The issue is that Observer component is publicly mutable, allowing code to replace the system inside an already-registered observer. This is similar to issue #20736 but does not require the observer to be currently running to trigger the bug.

Design a fix that prevents the system state inside an Observer from being changed after registration. This could involve making the system field private, adding a runtime guard, or restructuring how observer systems are stored. Ensure the fix covers both the running-observer case (#20736) and the post-spawn replacement case. Add a test that attempts to replace an observer's system and verifies it either panics safely or is prevented at compile time."
None,pola-rs/polars,"Work in the existing repository. Inspect the codebase before editing.

When scanning a hive-partitioned parquet dataset and selecting only pl.max('partition_column'), Polars loads far more data into memory than necessary. For a 100M row dataset partitioned by date, selecting just the max partition key consumes ~940 MB RSS instead of staying near the baseline ~92 MB.

The query plan should recognize that pl.max on a partition column can be answered from partition metadata alone without reading row data. The optimizer is not pushing down this aggregation to the partition level.

Investigate the query optimizer path for scan_parquet with hive_partitioning. The max of a partition column should be computable from the partition directory listing without scanning any parquet files. Implement this optimization so that min/max aggregations on partition columns only read metadata. Add a test verifying memory usage stays roughly constant regardless of dataset size when only partition-column aggregations are requested."
None,charmbracelet/bubbletea,"Work in the existing repository. Inspect the codebase before editing.

When a Bubble Tea TUI application exits - whether normally via tea.Quit or due to a panic/recovery - the terminal window title remains set to whatever the application last set it to. This leaves the user's terminal in a dirty state, with a stale title from the TUI app instead of being restored to what it was before the app launched.

The ideal fix: capture the current window title before the TUI starts, then restore it during shutdown/cleanup. If capturing isn't possible, at minimum clear the title to an empty string on exit, which most terminal emulators interpret as a reset to default.

Implement title save/restore in the tea.Program shutdown path. Handle both normal exit and panic recovery scenarios. Test on at least two terminal emulators (e.g. Windows Terminal and iTerm2/Alacritty) to verify the title is restored after the program exits."
